Período,Empleo,Var. %  interanual,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Fuente,TipoSerie,Var. % Trimestral,Var. % interanual,"Agricultura, ganadería y pesca",Minería y petróleo,Industria,"Electricidad, gas y agua",Construcción,Comercio,Servicios,Total ,Minería y petróleo (3),"Electricidad, gas y agua (3)"
1º Trim 2019,6575714.0,-0.021581494230263898,,,,,C1.1,Total,,,,,,,,,,,,
2º Trim 2019,6482106.0,-0.02494047751563344,,,,,C1.1,Total,,,,,,,,,,,,
3º Trim 2019,6442693.0,-0.021740028272650425,,,,,C1.1,Total,,,,,,,,,,,,
4º Trim 2019,6404476.0,-0.02492083018684077,,,,,C1.1,Total,,,,,,,,,,,,
1º Trim 2020,6384079.0,-0.02914284289128144,,,,,C1.1,Total,,,,,,,,,,,,
2º Trim 2020,6127188.0,-0.05475350140833857,,,,,C1.1,Total,,,,,,,,,,,,
3º Trim 2020,6105264.0,-0.05237390637734873,,,,,C1.1,Total,,,,,,,,,,,,
4º Trim 2020,6156639.0,-0.038697467208870795,,,,,C1.1,Total,,,,,,,,,,,,
1º Trim 2021,6244100.0,-0.021926263757074405,,,,,C1.1,Total,,,,,,,,,,,,
2º Trim 2021,6246210.0,0.019425224099538063,,,,,C1.1,Total,,,,,,,,,,,,
3º Trim 2021,6270240.0,0.027021927307320448,,,,,C1.1,Total,,,,,,,,,,,,
4º Trim 2021,6377629.0,0.03589458469142004,,,,,C1.1,Total,,,,,,,,,,,,
1º Trim 2022,6510537.0,0.042670200669431946,,,,,C1.1,Total,,,,,,,,,,,,
2º Trim 2022,6538000.0,0.046714727810944545,,,,,C1.1,Total,,,,,,,,,,,,
3º Trim 2022,6603063.0,0.0530797864196586,,,,,C1.1,Total,,,,,,,,,,,,
4º Trim 2022,6685499.0,0.04827342575116855,,,,,C1.1,Total,,,,,,,,,,,,
1º Trim 2023,6786299.0,0.04235626032076922,,,,,C1.1,Total,,,,,,,,,,,,
2º Trim 2023,6777613.0,0.03664928112572663,,,,,C1.1,Total,,,,,,,,,,,,
3º Trim 2023,6806754.0,0.030847956471110383,,,,,C1.1,Total,,,,,,,,,,,,
4º Trim 2023,6798710.0,0.016933814514069834,,,,,C1.1,Total,,,,,,,,,,,,
1º Trim 2024,6756727.0,-0.004357603459558712,,,,,C1.1,Total,,,,,,,,,,,,
2º Trim 2024,6633850.0,-0.021211450107877172,,,,,C1.1,Total,,,,,,,,,,,,
3º Trim 2024*,6625300.0,-0.026657934163626273,,,,,C1.1,Total,,,,,,,,,,,,
1º Trim 1996,3396779.0,,,,,,C1.2,Total,,,,,,,,,,,,
2º Trim 1996,3474153.0,,,,,,C1.2,Total,0.022778638233455828,,,,,,,,,,,
3º Trim 1996,3551981.0,,,,,,C1.2,Total,0.022402007050351447,,,,,,,,,,,
4º Trim 1996,3620382.0,,,,,,C1.2,Total,0.019257141296645353,,,,,,,,,,,
1º Trim 1997,3701956.0,,,,,,C1.2,Total,0.02253187647049404,0.0898430542581663,,,,,,,,,,
2º Trim 1997,3781908.0,,,,,,C1.2,Total,0.02159723130150648,0.08858418152568404,,,,,,,,,,
3º Trim 1997,3859484.0,,,,,,C1.2,Total,0.020512397445945352,0.08657225362410448,,,,,,,,,,
4º Trim 1997,3946028.0,,,,,,C1.2,Total,0.022423722964002524,0.08994796681676132,,,,,,,,,,
1º Trim 1998,4030186.0,,,,,,C1.2,Total,0.02132726883843694,0.08866393873941236,,,,,,,,,,
2º Trim 1998,4079015.0,,,,,,C1.2,Total,0.012115817979616805,0.07856008131345349,,,,,,,,,,
3º Trim 1998,4116201.0,,,,,,C1.2,Total,0.009116416585867038,0.06651588657965668,,,,,,,,,,
4º Trim 1998,4111078.0,,,,,,C1.2,Total,-0.0012445942265696397,0.04182686995632068,,,,,,,,,,
1º Trim 1999,4081373.0,,,,,,C1.2,Total,-0.007225598735903338,0.01270090263824053,,,,,,,,,,
2º Trim 1999,4061023.0,,,,,,C1.2,Total,-0.004986067188664234,-0.0044108688004333985,,,,,,,,,,
3º Trim 1999,4033684.0,,,,,,C1.2,Total,-0.006732047565354837,-0.020046883036081042,,,,,,,,,,
4º Trim 1999,4017348.0,,,,,,C1.2,Total,-0.004049895827238803,-0.022799372816570296,,,,,,,,,,
1º Trim 2000,4000269.0,,,,,,C1.2,Total,-0.004251312059597501,-0.019871744141003567,,,,,,,,,,
2º Trim 2000,3978773.0,,,,,,C1.2,Total,-0.005373638622802601,-0.02025351740189607,,,,,,,,,,
3º Trim 2000,3991259.0,,,,,,C1.2,Total,0.0031381533955316954,-0.01051768061156999,,,,,,,,,,
4º Trim 2000,4010779.0,,,,,,C1.2,Total,0.004890687374585312,-0.001635158318373242,,,,,,,,,,
1º Trim 2001,4013267.0,,,,,,C1.2,Total,0.000620328370124712,0.0032492814858200436,,,,,,,,,,
2º Trim 2001,3989572.0,,,,,,C1.2,Total,-0.005904167352932199,0.0027141533332009082,,,,,,,,,,
3º Trim 2001,3899640.0,,,,,,C1.2,Total,-0.022541766384965634,-0.02295491222193302,,,,,,,,,,
4º Trim 2001,3780605.0,,,,,,C1.2,Total,-0.030524612528335937,-0.05738885139270955,,,,,,,,,,
1º Trim 2002,3590887.0,,,,,,C1.2,Total,-0.0501819153283668,-0.10524592557634471,,,,,,,,,,
2º Trim 2002,3515727.0,,,,,,C1.2,Total,-0.02093076167531871,-0.11877088569901739,,,,,,,,,,
3º Trim 2002,3488167.0,,,,,,C1.2,Total,-0.007839061451585971,-0.10551563734088276,,,,,,,,,,
4º Trim 2002,3500873.0,,,,,,C1.2,Total,0.003642600827311382,-0.07399133207515729,,,,,,,,,,
1º Trim 2003,3579941.0,,,,,,C1.2,Total,0.022585223742763505,-0.003048271917217127,,,,,,,,,,
2º Trim 2003,3675875.0,,,,,,C1.2,Total,0.026797648341131852,0.04555188727679926,,,,,,,,,,
3º Trim 2003,3777914.0,,,,,,C1.2,Total,0.027759104975005888,0.08306569037548939,,,,,,,,,,
4º Trim 2003,3882368.0,,,,,,C1.2,Total,0.027648591259621158,0.108971390850225,,,,,,,,,,
1º Trim 2004,3990681.0,,,,,,C1.2,Total,0.027898694817183767,0.1147337344386401,,,,,,,,,,
2º Trim 2004,4104943.0,,,,,,C1.2,Total,0.028632205881652828,0.11672540551569344,,,,,,,,,,
3º Trim 2004,4258642.0,,,,,,C1.2,Total,0.037442420028731105,0.12724694103677314,,,,,,,,,,
4º Trim 2004,4378624.0,,,,,,C1.2,Total,0.028173769948260485,0.1278230193531371,,,,,,,,,,
1º Trim 2005,4511063.0,,,,,,C1.2,Total,0.03024671677677726,0.13039929776396564,,,,,,,,,,
2º Trim 2005,4632880.0,,,,,,C1.2,Total,0.027004056471833904,0.12861006839802647,,,,,,,,,,
3º Trim 2005,4750549.0,,,,,,C1.2,Total,0.025398672100291897,0.1155079483084045,,,,,,,,,,
4º Trim 2005,4879220.0,,,,,,C1.2,Total,0.02708550106524532,0.11432724070392886,,,,,,,,,,
1º Trim 2006,4989899.0,,,,,,C1.2,Total,0.02268374863195355,0.10614704339088155,,,,,,,,,,
2º Trim 2006,5088322.0,,,,,,C1.2,Total,0.01972444732849299,0.09830645300547403,,,,,,,,,,
3º Trim 2006,5182755.0,,,,,,C1.2,Total,0.018558770455171736,0.09098022144387952,,,,,,,,,,
4º Trim 2006,5296317.0,,,,,,C1.2,Total,0.02191151231343169,0.08548436020511474,,,,,,,,,,
1º Trim 2007,5418214.0,,,,,,C1.2,Total,0.023015427513118913,0.08583640670883308,,,,,,,,,,
2º Trim 2007,5524709.0,,,,,,C1.2,Total,0.01965500070687498,0.08576245764320722,,,,,,,,,,
3º Trim 2007,5637738.0,,,,,,C1.2,Total,0.020458815115873108,0.08778786572006592,,,,,,,,,,
4º Trim 2007,5764241.0,,,,,,C1.2,Total,0.022438609243636387,0.08834894134924332,,,,,,,,,,
1º Trim 2008,5846575.0,,,,,,C1.2,Total,0.014283580440165533,0.0790594465261063,,,,,,,,,,
2º Trim 2008,5937081.0,,,,,,C1.2,Total,0.015480174290075865,0.07464139740210762,,,,,,,,,,
3º Trim 2008,5969950.0,,,,,,C1.2,Total,0.005536222261411039,0.058926470155229005,,,,,,,,,,
4º Trim 2008,5945857.0,,,,,,C1.2,Total,-0.004035712191894358,0.03150735716983388,,,,,,,,,,
1º Trim 2009,5866207.0,,,,,,C1.2,Total,-0.0133958822084016,0.0033578633644484324,,,,,,,,,,
2º Trim 2009,5817998.0,,,,,,C1.2,Total,-0.008218087087618953,-0.02005749963660597,,,,,,,,,,
3º Trim 2009,5827591.0,,,,,,C1.2,Total,0.0016488489683221808,-0.023845928357858925,,,,,,,,,,
4º Trim 2009,5858242.0,,,,,,C1.2,Total,0.005259634727282636,-0.014735470429241726,,,,,,,,,,
1º Trim 2010,5911128.0,,,,,,C1.2,Total,0.00902762296265669,0.007657588625836098,,,,,,,,,,
2º Trim 2010,5960477.0,,,,,,C1.2,Total,0.008348491184761997,0.02448935183545964,,,,,,,,,,
3º Trim 2010,6017356.0,,,,,,C1.2,Total,0.009542692640203132,0.0325631980693224,,,,,,,,,,
4º Trim 2010,6086658.0,,,,,,C1.2,Total,0.01151701843799846,0.03899053675146913,,,,,,,,,,
1º Trim 2011,6180629.0,,,,,,C1.2,Total,0.015438850022458928,0.04559214417282109,,,,,,,,,,
2º Trim 2011,6262386.0,,,,,,C1.2,Total,0.013227941686841271,0.05065181863800494,,,,,,,,,,
3º Trim 2011,6321598.0,,,,,,C1.2,Total,0.009455182098324855,0.050560744619397635,,,,,,,,,,
4º Trim 2011,6367111.0,,,,,,C1.2,Total,0.007199603644521435,0.04607668116066321,,,,,,,,,,
1º Trim 2012,6367852.0,,,,,,C1.2,Total,0.00011637931237573618,0.030291900711076458,,,,,,,,,,
2º Trim 2012,6362002.0,,,,,,C1.2,Total,-0.000918677130058887,0.01590703607219357,,,,,,,,,,
3º Trim 2012,6359183.0,,,,,,C1.2,Total,-0.0004430995149011796,0.005945490364936301,,,,,,,,,,
4º Trim 2012,6378849.0,,,,,,C1.2,Total,0.003092535629183768,0.0018435362600086602,,,,,,,,,,
1º Trim 2013,6412287.0,,,,,,C1.2,Total,0.005242011529039248,0.006978020217806469,,,,,,,,,,
2º Trim 2013,6422640.0,,,,,,C1.2,Total,0.0016145565536913598,0.009531276475549744,,,,,,,,,,
3º Trim 2013,6430372.0,,,,,,C1.2,Total,0.0012038663228828295,0.011194677052067892,,,,,,,,,,
4º Trim 2013,6437706.0,,,,,,C1.2,Total,0.0011405249960656505,0.009226899711844538,,,,,,,,,,
1º Trim 2014,6422084.0,,,,,,C1.2,Total,-0.0024266407940964907,0.0015278480205267453,,,,,,,,,,
2º Trim 2014,6421179.0,,,,,,C1.2,Total,-0.0001409199879665035,-0.0002274765516984134,,,,,,,,,,
3º Trim 2014,6438284.0,,,,,,C1.2,Total,0.0026638410173582816,0.00123041093112497,,,,,,,,,,
4º Trim 2014,6467597.0,,,,,,C1.2,Total,0.004552921244232122,0.004643113556288547,,,,,,,,,,
1º Trim 2015,6520599.0,,,,,,C1.2,Total,0.008195006584362119,0.015340036038145932,,,,,,,,,,
2º Trim 2015,6587455.0,,,,,,C1.2,Total,0.010253045770795,0.025894933002179155,,,,,,,,,,
3º Trim 2015,6620148.0,,,,,,C1.2,Total,0.0049629181527615085,0.028247278312047097,,,,,,,,,,
4º Trim 2015,6606332.0,,,,,,C1.2,Total,-0.002086962406278481,0.021450779941916576,,,,,,,,,,
1º Trim 2016,6573933.0,,,,,,C1.2,Total,-0.004904234301273402,0.008179309906958032,,,,,,,,,,
2º Trim 2016,6541669.0,,,,,,C1.2,Total,-0.004907868698996509,-0.006950483912224081,,,,,,,,,,
3º Trim 2016,6531339.0,,,,,,C1.2,Total,-0.0015791077170062007,-0.013414956886160234,,,,,,,,,,
4º Trim 2016,6549019.0,,,,,,C1.2,Total,0.002706948758899319,-0.008675464690542367,,,,,,,,,,
1º Trim 2017,6574716.0,,,,,,C1.2,Total,0.003923793777358187,0.00011910678128290719,,,,,,,,,,
2º Trim 2017,6592012.0,,,,,,C1.2,Total,0.002630683971748704,0.007695742477951795,,,,,,,,,,
3º Trim 2017,6626401.0,,,,,,C1.2,Total,0.005216768416076878,0.014554749033850456,,,,,,,,,,
4º Trim 2017,6668132.0,,,,,,C1.2,Total,0.006297687085342396,0.01818791486175253,,,,,,,,,,
1º Trim 2018,6681653.0,,,,,,C1.2,Total,0.002027704310592515,0.01626488505359025,,,,,,,,,,
2º Trim 2018,6664543.0,,,,,,C1.2,Total,-0.002560743576477287,0.011002862252071033,,,,,,,,,,
3º Trim 2018,6614572.0,,,,,,C1.2,Total,-0.0074980385001641725,-0.0017851319290819179,,,,,,,,,,
4º Trim 2018,6563677.0,,,,,,C1.2,Total,-0.007694375388158092,-0.0156648068754488,,,,,,,,,,
1º Trim 2019,6532967.0,,,,,,C1.2,Total,-0.004678779897304475,-0.022252876645943775,,,,,,,,,,
2º Trim 2019,6501724.0,,,,,,C1.2,Total,-0.004782359990491258,-0.02443063237794396,,,,,,,,,,
3º Trim 2019,6469133.0,,,,,,C1.2,Total,-0.005012670485551207,-0.021987666019812058,,,,,,,,,,
4º Trim 2019,6402707.0,,,,,,C1.2,Total,-0.01026814566959744,-0.024524363401794425,,,,,,,,,,
1º Trim 2020,6338470.0,,,,,,C1.2,Total,-0.010032787694329914,-0.029771618316761783,,,,,,,,,,
2º Trim 2020,6145726.0,,,,,,C1.2,Total,-0.03040860018269398,-0.05475440052515301,,,,,,,,,,
3º Trim 2020,6129919.0,,,,,,C1.2,Total,-0.0025720313596798716,-0.052435774623894704,,,,,,,,,,
4º Trim 2020,6156486.0,,,,,,C1.2,Total,0.004333988752543094,-0.038455765662867236,,,,,,,,,,
1º Trim 2021,6203798.0,,,,,,C1.2,Total,0.0076849033685775225,-0.021246767753101303,,,,,,,,,,
2º Trim 2021,6263412.0,,,,,,C1.2,Total,0.009609274834544879,0.019149242904743957,,,,,,,,,,
3º Trim 2021,6293430.0,,,,,,C1.2,Total,0.00479259547352151,0.026674251323712372,,,,,,,,,,
4º Trim 2021,6377287.0,,,,,,C1.2,Total,0.013324530502444532,0.03586477740711169,,,,,,,,,,
1º Trim 2022,6469876.0,,,,,,C1.2,Total,0.01451855624499876,0.0428895331537229,,,,,,,,,,
2º Trim 2022,6558101.0,,,,,,C1.2,Total,0.013636273709109803,0.04704927601760822,,,,,,,,,,
3º Trim 2022,6624372.0,,,,,,C1.2,Total,0.010105211859347651,0.05258531516200238,,,,,,,,,,
4º Trim 2022,6683917.0,,,,,,C1.2,Total,0.008988776596483339,0.048081574500253854,,,,,,,,,,
1º Trim 2023,6747028.0,,,,,,C1.2,Total,0.009442217789359164,0.042837297036295574,,,,,,,,,,
2º Trim 2023,6799577.0,,,,,,C1.2,Total,0.0077884662698894935,0.036821024866802166,,,,,,,,,,
3º Trim 2023,6827054.0,,,,,,C1.2,Total,0.004040986667258828,0.030596409742689623,,,,,,,,,,
4º Trim 2023,6795056.0,,,,,,C1.2,Total,-0.004686941102267528,0.01662782467226931,,,,,,,,,,
1º Trim 2024,6720126.0,,,,,,C1.2,Total,-0.011027135022875445,-0.003987237047185843,,,,,,,,,,
2º Trim 2024,6653292.0,,,,,,C1.2,Total,-0.009945349238987489,-0.021513838287293474,,,,,,,,,,
3º Trim 2024*,6645058.843936479,,,,,,C1.2,Total,-0.0012374559937428087,-0.026657934163626273,,,,,,,,,,
1º Trim 1996,,,,,,,C2.1,Grandes divisiones,,,242363.0,33052.0,884282.0,44277.0,182266.0,520178.0,1517860.0,3424278.0,,
2º Trim 1996,,,,,,,C2.1,Grandes divisiones,,,245658.0,33732.0,892050.0,44639.0,186361.0,527860.0,1535203.0,3465503.0,,
3º Trim 1996,,,,,,,C2.1,Grandes divisiones,,,241170.0,34170.0,898198.0,45254.0,202370.0,536994.0,1570251.0,3528407.0,,
4º Trim 1996,,,,,,,C2.1,Grandes divisiones,,,247030.0,36234.0,912318.0,44488.0,216490.0,552783.0,1617638.0,3626981.0,,
1º Trim 1997,,,,,,,C2.1,Grandes divisiones,,,268980.0,35707.0,923616.0,44709.0,232424.0,563901.0,1655183.0,3724520.0,,
2º Trim 1997,,,,,,,C2.1,Grandes divisiones,,,268271.0,37067.0,934635.0,45016.0,236270.0,571603.0,1683030.0,3775892.0,,
3º Trim 1997,,,,,,,C2.1,Grandes divisiones,,,255849.0,37630.0,934990.0,47387.0,246182.0,581901.0,1731664.0,3835603.0,,
4º Trim 1997,,,,,,,C2.1,Grandes divisiones,,,260015.0,37678.0,948585.0,47626.0,256015.0,599984.0,1803090.0,3952993.0,,
1º Trim 1998,,,,,,,C2.1,Grandes divisiones,,,280992.0,38583.0,954011.0,47983.0,260297.0,612061.0,1862393.0,4056320.0,,
2º Trim 1998,,,,,,,C2.1,Grandes divisiones,,,267630.0,39071.0,956073.0,47999.0,261152.0,617944.0,1878731.0,4068600.0,,
3º Trim 1998,,,,,,,C2.1,Grandes divisiones,,,261521.0,38891.0,949006.0,49013.0,268986.0,621745.0,1903918.0,4093080.0,,
4º Trim 1998,,,,,,,C2.1,Grandes divisiones,,,262676.0,37144.0,943114.0,48348.0,275414.0,628976.0,1923039.0,4118711.0,,
1º Trim 1999,,,,,,,C2.1,Grandes divisiones,,,278661.0,35422.0,929183.0,48240.0,274926.0,628543.0,1909559.0,4104534.0,,
2º Trim 1999,,,,,,,C2.1,Grandes divisiones,,,263926.0,34764.0,907128.0,48213.0,272491.0,622727.0,1902911.0,4052160.0,,
3º Trim 1999,,,,,,,C2.1,Grandes divisiones,,,253656.0,35002.0,887976.0,49240.0,267604.0,616282.0,1902045.0,4011805.0,,
4º Trim 1999,,,,,,,C2.1,Grandes divisiones,,,253928.0,35754.0,882374.0,49200.0,260113.0,620054.0,1923576.0,4024999.0,,
1º Trim 2000,,,,,,,C2.1,Grandes divisiones,,,267916.0,36584.0,876787.0,48749.0,244685.0,625346.0,1926806.0,4026873.0,,
2º Trim 2000,,,,,,,C2.1,Grandes divisiones,,,258186.0,36922.0,858663.0,48886.0,226359.0,619489.0,1919905.0,3968410.0,,
3º Trim 2000,,,,,,,C2.1,Grandes divisiones,,,254156.0,36911.0,850289.0,48376.0,223959.0,623845.0,1932962.0,3970498.0,,
